ID,Loại,SKU,"GTIN, UPC, EAN hoặc ISBN",Tên,"Đã xuất bản","Là sản phẩm nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giá khuyến mãi","Ngày kết thúc giá khuyến mãi","Trạng thái thuế","Lớp thuế","Còn hàng?","Tồn kho","Số lượng sắp hết hàng","Cho phép đặt hàng trước?","Bán riêng lẻ?","Cân nặng (kg)","Chiều dài (cm)","Chiều rộng (cm)","Chiều cao (cm)","Cho phép khách hàng đánh giá?","Ghi chú mua hàng","Giá khuyến mãi","Giá thông thường","Danh mục",Thẻ,"Lớp vận chuyển","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải xuống",Cha,"Sản phẩm theo nhóm","Bán thêm","Bán chéo","URL bên ngoài","Văn bản nút","Vị trí","Thương hiệu","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính chung 1","Tên thuộc tính 2","Giá trị thuộc tính 2","Thuộc tính hiển thị 2","Thuộc tính chung 2","Tên thuộc tính 3","Giá trị thuộc tính 3","Thuộc tính hiển thị 3","Thuộc tính chung 3","Tên thuộc tính 4","Giá trị thuộc tính 4","Thuộc tính hiển thị 4","Thuộc tính chung 4","Tên thuộc tính 5","Giá trị thuộc tính 5","Thuộc tính hiển thị 5","Thuộc tính chung 5","Tên thuộc tính 6","Giá trị thuộc tính 6","Thuộc tính hiển thị 6","Thuộc tính chung 6","Tên thuộc tính 7","Giá trị thuộc tính 7","Thuộc tính hiển thị 7","Thuộc tính chung 7","Tên thuộc tính 8","Giá trị thuộc tính 8","Thuộc tính hiển thị 8","Thuộc tính chung 8","Tên thuộc tính 9","Giá trị thuộc tính 9","Thuộc tính hiển thị 9","Thuộc tính chung 9"
174,variable,,,"Apple iPhone 15",1,0,visible,"iPhone 15 sở hữu Dynamic Island, camera Chính 48MP và USB-C trong thiết kế bằng kính pha màu và nhôm bền bỉ.","<h3><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Tính năng nổi bật</span></h3>
\n<p data-start=""2572"" data-end=""2686""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2572"" data-end=""2598"">Tốc độ SSD nhanh chóng</strong>: Khởi động máy tính gần như ngay lập tức, tải ứng dụng và sao chép dữ liệu nhanh chóng.</span></p>
\n</li>
\n 	<li data-start=""2687"" data-end=""2792"">
\n<p data-start=""2689"" data-end=""2792""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2689"" data-end=""2725"">Màn hình Liquid Retina sống động</strong>: Độ phân giải cao và độ sáng tối ưu cho trải nghiệm xem tuyệt vời.</span></p>
\n</li>
\n</ul>
\n
\n<hr data-start=""2794"" data-end=""2797"" />
\n
\n<h3 data-start=""2799"" data-end=""2815""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2803"" data-end=""2815"">Tổng Kết</strong></span></h3>
\n<p data-start=""2816"" data-end=""3060""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">MacBook Air 13 M4 2025 là sự kết hợp hoàn hảo giữa thiết kế mỏng nhẹ, hiệu năng mạnh mẽ và màn hình chất lượng cao. Với nhiều lựa chọn cấu hình linh hoạt, bạn có thể dễ dàng tùy chỉnh máy để phù hợp với nhu cầu công việc hoặc giải trí của mình.</span></p>
\n
\n</div>","2025-09-18 0:00:00","2025-09-30 23:59:59",taxable,,1,,,0,0,1.24,304.1,215,11.3,1,"Cảm ơn đã mua hàng",,,"Laptop - PC",,,"http://localhost/ekart/wp-content/uploads/2025/09/1-1.webp, http://localhost/ekart/wp-content/uploads/2025/09/2-1.webp, http://localhost/ekart/wp-content/uploads/2025/09/3-1.webp, http://localhost/ekart/wp-content/uploads/2025/09/6-1.webp, http://localhost/ekart/wp-content/uploads/2025/09/8-1.webp, http://localhost/ekart/wp-content/uploads/2025/09/7-1.webp, http://localhost/ekart/wp-content/uploads/2025/09/5-1.webp, http://localhost/ekart/wp-content/uploads/2025/09/4-1.webp",,,,,,,,,0,Apple,Màu,"Bạc, Vàng ánh sao",1,0,"Thương hiệu",Apple,1,0,"Xuất xứ thương hiệu",Mỹ,1,0,CPU,"Chip M4",1,0,"Loại/ Công nghệ màn hình","Liquid Retina",1,0,"Xuất xứ (Made in)","Trung Quốc",1,0,"Hình thức bảo hành","Hóa đơn",1,0,"Thời gian bảo hành","12 Tháng",1,0,"Nơi bảo hành","Bảo hành chính hãng",1,0
229,simple,D0001,,"Dell Precision 5540 Core i9 Ram 16gb, SSD NVME 512gb Card T2000 15.6inch IPS",1,0,visible,,"<h3 data-start=""221"" data-end=""289""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""225"" data-end=""289"">Dell Precision 5540 - Laptop Doanh Nghiệp Mạnh Mẽ và Tinh Tế</strong></span></h3>
\n<h4 data-start=""291"" data-end=""326""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""296"" data-end=""326"">Thông Số Cấu Hình Chi Tiết</strong></span></h4>
\n<ul data-start=""328"" data-end=""1319"">
\n 	<li data-start=""328"" data-end=""521"">
\n<p data-start=""330"" data-end=""408""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""330"" data-end=""337"">CPU</strong>:</span><br data-start=""338"" data-end=""341"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Intel Core i9-9880H (8 nhân, 16 luồng), xung nhịp tối đa 4.8GHz</span></p>
\n
\n<ul data-start=""411"" data-end=""521"">
\n 	<li data-start=""411"" data-end=""521"">
\n<p data-start=""413"" data-end=""521""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Chip mạnh mẽ, xử lý mượt mà các tác vụ nặng như thiết kế đồ họa 3D, dựng video, lập trình, render, kỹ thuật.</span></p>
\n</li>
\n</ul>
\n</li>
\n 	<li data-start=""523"" data-end=""707"">
\n<p data-start=""525"" data-end=""591""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""525"" data-end=""532"">RAM</strong>:</span><br data-start=""533"" data-end=""536"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">16GB DDR4 bus 2666MHz (2 khe, nâng cấp tối đa 64GB)</span></p>
\n
\n<ul data-start=""594"" data-end=""707"">
\n 	<li data-start=""594"" data-end=""707"">
\n<p data-start=""596"" data-end=""707""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Đảm bảo hiệu suất đa nhiệm cực tốt, chạy mượt các phần mềm nặng như AutoCAD, Revit, SolidWorks, Adobe Premiere.</span></p>
\n</li>
\n</ul>
\n</li>
\n 	<li data-start=""709"" data-end=""858"">
\n<p data-start=""711"" data-end=""748""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""711"" data-end=""721"">Ổ cứng</strong>:</span><br data-start=""722"" data-end=""725"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">SSD 512GB NVMe PCIe</span></p>
\n
\n<ul data-start=""751"" data-end=""858"">
\n 	<li data-start=""751"" data-end=""858"">
\n<p data-start=""753"" data-end=""858""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Tốc độ siêu nhanh, khởi động máy và phần mềm chỉ trong vài giây, có thể nâng cấp thêm dung lượng khi cần.</span></p>
\n</li>
\n</ul>
\n</li>
\n 	<li data-start=""860"" data-end=""1011"">
\n<p data-start=""862"" data-end=""914""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""862"" data-end=""877"">Card đồ họa</strong>:</span><br data-start=""878"" data-end=""881"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">NVIDIA Quadro T2000 4GB GDDR5</span></p>
\n
\n<ul data-start=""917"" data-end=""1011"">
\n 	<li data-start=""917"" data-end=""1011"">
\n<p data-start=""919"" data-end=""1011""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Card đồ họa chuyên nghiệp, tối ưu cho các phần mềm kỹ thuật, đồ họa 2D, 3D, CAD/CAM, render.</span></p>
\n</li>
\n</ul>
\n</li>
\n 	<li data-start=""1013"" data-end=""1177"">
\n<p data-start=""1015"" data-end=""1101""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1015"" data-end=""1027"">Màn hình</strong>:</span><br data-start=""1028"" data-end=""1031"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">15.6 inch Full HD (1920x1080), tấm nền IPS, viền mỏng InfinityEdge</span></p>
\n
\n<ul data-start=""1104"" data-end=""1177"">
\n 	<li data-start=""1104"" data-end=""1177"">
\n<p data-start=""1106"" data-end=""1177""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Độ sáng cao, màu sắc chuẩn, phục vụ công việc đồ họa, thiết kế cực tốt.</span></p>
\n</li>
\n</ul>
\n</li>
\n 	<li data-start=""1179"" data-end=""1319"">
\n<p data-start=""1181"" data-end=""1248""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1181"" data-end=""1193"">Thiết kế</strong>:</span><br data-start=""1194"" data-end=""1197"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Vỏ nhôm kết hợp sợi carbon, mỏng nhẹ chỉ 1.78kg</span></p>
\n
\n<ul data-start=""1251"" data-end=""1319"">
\n 	<li data-start=""1251"" data-end=""1319"">
\n<p data-start=""1253"" data-end=""1319""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Siêu bền đạt chuẩn quân đội MIL-STD-810G, sang trọng và chắc chắn.</span></p>
\n</li>
\n</ul>
\n</li>
\n</ul>
\n
\n<hr data-start=""1321"" data-end=""1324"" />
\n
\n<h4 data-start=""1326"" data-end=""1352""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1331"" data-end=""1352"">Tính Năng Nổi Bật</strong></span></h4>
\n<ul data-start=""1354"" data-end=""2380"">
\n 	<li data-start=""1354"" data-end=""1496"">
\n<p data-start=""1356"" data-end=""1496""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1356"" data-end=""1378"">Hiệu năng cực mạnh</strong>:</span><br data-start=""1379"" data-end=""1382"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Core i9 8 nhân, RAM 16GB, SSD NVMe tốc độ cao, xử lý mượt các phần mềm đồ họa, kỹ thuật, render, lập trình nặng.</span></p>
\n</li>
\n 	<li data-start=""1498"" data-end=""1617"">
\n<p data-start=""1500"" data-end=""1617""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1500"" data-end=""1529"">Card đồ họa chuyên nghiệp</strong>:</span><br data-start=""1530"" data-end=""1533"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">NVIDIA Quadro T2000, tối ưu dựng hình 3D, thiết kế, làm phim, AutoCAD, SolidWorks.</span></p>
\n</li>
\n 	<li data-start=""1619"" data-end=""1740"">
\n<p data-start=""1621"" data-end=""1740""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1621"" data-end=""1643"">Màn hình chuẩn màu</strong>:</span><br data-start=""1644"" data-end=""1647"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Full HD IPS, viền siêu mỏng InfinityEdge, chống chói – hiển thị sắc nét, màu sắc chính xác.</span></p>
\n</li>
\n 	<li data-start=""1742"" data-end=""1852"">
\n<p data-start=""1744"" data-end=""1852""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1744"" data-end=""1759"">Pin lâu dài</strong>:</span><br data-start=""1760"" data-end=""1763"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">6 Cell ~ 97Wh, thời gian sử dụng thực tế từ 6-10 tiếng, hỗ trợ sạc nhanh ExpressCharge.</span></p>
\n</li>
\n 	<li data-start=""1854"" data-end=""2035"">
\n<p data-start=""1856"" data-end=""1875""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1856"" data-end=""1874"">Bảo mật tối ưu</strong>:</span></p>
\n
\n<ul data-start=""1878"" data-end=""2035"">
\n 	<li data-start=""1878"" data-end=""1933"">
\n<p data-start=""1880"" data-end=""1933""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1880"" data-end=""1900"">Cảm biến vân tay</strong>: Mở khóa nhanh chóng và bảo mật.</span></p>
\n</li>
\n 	<li data-start=""1936"" data-end=""1994"">
\n<p data-start=""1938"" data-end=""1994""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1938"" data-end=""1951"">Camera IR</strong>: Hỗ trợ Windows Hello nhận diện khuôn mặt.</span></p>
\n</li>
\n 	<li data-start=""1997"" data-end=""2035"">
\n<p data-start=""1999"" data-end=""2035""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1999"" data-end=""2010"">TPM 2.0</strong>: Mã hóa dữ liệu bảo mật.</span></p>
\n</li>
\n</ul>
\n</li>
\n 	<li data-start=""2037"" data-end=""2202"">
\n<p data-start=""2039"" data-end=""2063""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2039"" data-end=""2062"">Cổng kết nối đầy đủ</strong>:</span></p>
\n
\n<ul data-start=""2066"" data-end=""2202"">
\n 	<li data-start=""2066"" data-end=""2083"">
\n<p data-start=""2068"" data-end=""2083""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">2 x <strong data-start=""2072"" data-end=""2083"">USB 3.1</strong></span></p>
\n</li>
\n 	<li data-start=""2086"" data-end=""2122"">
\n<p data-start=""2088"" data-end=""2122""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">1 x <strong data-start=""2092"" data-end=""2122"">Thunderbolt 3 (USB Type-C)</strong></span></p>
\n</li>
\n 	<li data-start=""2125"" data-end=""2143"">
\n<p data-start=""2127"" data-end=""2143""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">1 x <strong data-start=""2131"" data-end=""2143"">HDMI 2.0</strong></span></p>
\n</li>
\n 	<li data-start=""2146"" data-end=""2170"">
\n<p data-start=""2148"" data-end=""2170""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">1 x <strong data-start=""2152"" data-end=""2170"">SD Card Reader</strong></span></p>
\n</li>
\n 	<li data-start=""2173"" data-end=""2202"">
\n<p data-start=""2175"" data-end=""2202""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">1 x <strong data-start=""2179"" data-end=""2202"">Jack tai nghe 3.5mm</strong></span></p>
\n</li>
\n</ul>
\n</li>
\n 	<li data-start=""2204"" data-end=""2300"">
\n<p data-start=""2206"" data-end=""2219""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2206"" data-end=""2218"">Bàn phím</strong>:</span></p>
\n
\n<ul data-start=""2222"" data-end=""2300"">
\n 	<li data-start=""2222"" data-end=""2300"">
\n<p data-start=""2224"" data-end=""2300""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Full-size, có LED nền, gõ êm, hành trình phím sâu, phù hợp làm việc ban đêm.</span></p>
\n</li>
\n</ul>
\n</li>
\n 	<li data-start=""2302"" data-end=""2380"">
\n<p data-start=""2304"" data-end=""2321""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2304"" data-end=""2320"">Hệ điều hành</strong>:</span></p>
\n
\n<ul data-start=""2324"" data-end=""2380"">
\n 	<li data-start=""2324"" data-end=""2380"">
\n<p data-start=""2326"" data-end=""2380""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Windows 10/11 bản quyền (tùy máy hoặc hỗ trợ cài sẵn).</span></p>
\n</li>
\n</ul>
\n</li>
\n</ul>
\n
\n<hr data-start=""2382"" data-end=""2385"" />
\n
\n<h4 data-start=""2387"" data-end=""2421""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2392"" data-end=""2421"">Đối Tượng Sử Dụng Phù Hợp</strong></span></h4>
\n<ul data-start=""2423"" data-end=""2773"">
\n 	<li data-start=""2423"" data-end=""2565"">
\n<p data-start=""2425"" data-end=""2565""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2425"" data-end=""2491"">Dân thiết kế, kỹ thuật, kiến trúc sư, biên tập viên, dựng phim</strong></span><br data-start=""2491"" data-end=""2494"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Máy tính mạnh mẽ, phục vụ cho công việc sáng tạo và kỹ thuật cao cấp.</span></p>
\n</li>
\n 	<li data-start=""2567"" data-end=""2677"">
\n<p data-start=""2569"" data-end=""2677""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2569"" data-end=""2601"">Người dùng các phần mềm nặng</strong></span><br data-start=""2601"" data-end=""2604"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">AutoCAD, 3DsMax, Revit, SolidWorks, Adobe Premiere, After Effects, v.v.</span></p>
\n</li>
\n 	<li data-start=""2679"" data-end=""2773"">
\n<p data-start=""2681"" data-end=""2773""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2681"" data-end=""2726"">Những người cần laptop trạm hiệu năng cao</strong></span><br data-start=""2726"" data-end=""2729"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Màn hình đẹp, bền bỉ và dễ dàng di chuyển.</span></p>
\n</li>
\n</ul>
\n
\n<hr data-start=""2775"" data-end=""2778"" />
\n
\n<h3 data-start=""2780"" data-end=""2796""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2784"" data-end=""2796"">Tổng Kết</strong></span></h3>
\n<p data-start=""2797"" data-end=""3149""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Dell Precision 5540 là chiếc <strong data-start=""2826"" data-end=""2855"">laptop trạm hiệu năng cao</strong> lý tưởng cho <strong data-start=""2869"" data-end=""2918"">doanh nhân, nhà thiết kế, kỹ sư, kiến trúc sư</strong>, và những người làm việc với các ứng dụng đòi hỏi cấu hình mạnh mẽ. Với <strong data-start=""2991"" data-end=""3013"">chip Intel Core i9</strong>, <strong data-start=""3015"" data-end=""3050"">card đồ họa NVIDIA Quadro T2000</strong>, và <strong data-start=""3055"" data-end=""3079"">màn hình Full HD IPS</strong> chuẩn màu, máy sẽ là công cụ đắc lực để tối ưu hóa công việc của bạn.</span></p>",,,taxable,,1,100,95,1,0,1.78,357.23,235.47,1148,1,"Cảm ơn đã mua hàng",,23000000,"Laptop - PC",,,"http://localhost/ekart/wp-content/uploads/2025/09/dell1-1.webp, http://localhost/ekart/wp-content/uploads/2025/09/dell5-1.webp, http://localhost/ekart/wp-content/uploads/2025/09/dell4-1.webp, http://localhost/ekart/wp-content/uploads/2025/09/dell3-1.webp, http://localhost/ekart/wp-content/uploads/2025/09/dell2-1.webp",,,,,,,,,0,Dell,"Thương hiệu",Dell,1,0,"Xuất xứ thương hiệu","Hoa Kỳ",1,0,"Xuất xứ (Made in)","Japan / China",1,0,RAM,16GB,1,0,"Độ phân giải","Full HD (1920 x 1080)",1,0,"Hệ điều hành","Windows 10/11",1,0,,,,,,,,,,,,
230,variation,M0001b,,"MacBook Air M4 13Inch - Bạc",1,0,visible,,"MacBook Air M4 13Inch màu Bạc",,,taxable,parent,1,,,0,0,1.24,304.1,215,11.3,0,,,26990000,,,,http://localhost/ekart/wp-content/uploads/2025/09/9-1.webp,,,M0001,,,,,,1,,Màu,Bạc,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,variation,M0001v,,"MacBook Air M4 13Inch - Vàng ánh sao",1,0,visible,,"MacBook Air M4 13Inch màu Vàng ánh kim",,,taxable,parent,1,,,0,0,1.24,304.1,215,11.3,0,,,26990000,,,,http://localhost/ekart/wp-content/uploads/2025/09/1-1.webp,,,M0001,,,,,,2,,Màu,"Vàng ánh sao",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,simple,A0001,,"Laptop Asus Gaming Vivobook K3605VC - RP364W (i5 13420H, 16GB, 512GB, RTX 3050 4GB, WUXGA 144Hz, Win11)",1,0,visible,"<p data-start=""0"" data-end=""106"">Laptop <strong data-start=""7"" data-end=""48"">Asus Gaming Vivobook K3605VC - RP364W</strong> là một mẫu laptop chơi game tầm trung, cấu hình mạnh. Phù hợp cho game thủ phổ thông, sinh viên kỹ thuật hoặc người dùng cần máy vừa học, làm việc vừa giải trí.</p>","<h2 data-start=""219"" data-end=""264"">Laptop ASUS Gaming Vivobook K3605VC-RP364W</h2>
\n<h3 data-start=""266"" data-end=""338"">Hiệu năng mạnh mẽ – Thiết kế linh hoạt – Màn hình 144Hz chuẩn gaming</h3>
\n
\n<hr data-start=""340"" data-end=""343"" />
\n
\n<h3 data-start=""345"" data-end=""384"">1. Cấu hình mạnh mẽ cho mọi nhu cầu</h3>
\n<p data-start=""386"" data-end=""595"">Laptop ASUS Vivobook K3605VC-RP364W được trang bị vi xử lý Intel Core i5-13420H thế hệ thứ 13 với 8 nhân 12 luồng, mang lại hiệu suất vượt trội cho cả chơi game, xử lý đồ họa và công việc văn phòng chuyên sâu.</p>
\n
\n<ul data-start=""597"" data-end=""840"">
\n 	<li data-start=""597"" data-end=""656"">
\n<p data-start=""599"" data-end=""656"">CPU: Intel Core i5-13420H (up to 4.6GHz, 8 nhân 12 luồng)</p>
\n</li>
\n 	<li data-start=""657"" data-end=""696"">
\n<p data-start=""659"" data-end=""696"">RAM: 16GB DDR4 (nâng cấp tối đa 32GB)</p>
\n</li>
\n 	<li data-start=""697"" data-end=""732"">
\n<p data-start=""699"" data-end=""732"">Ổ cứng: 512GB SSD NVMe tốc độ cao</p>
\n</li>
\n 	<li data-start=""733"" data-end=""840"">
\n<p data-start=""735"" data-end=""840"">Card đồ họa: NVIDIA GeForce RTX 3050 4GB – Hỗ trợ Ray Tracing, tối ưu hiệu suất gaming và thiết kế đồ họa</p>
\n</li>
\n</ul>
\n
\n<hr data-start=""842"" data-end=""845"" />
\n
\n<h3 data-start=""847"" data-end=""896"">2. Màn hình chất lượng cao, tần số quét 144Hz</h3>
\n<p data-start=""898"" data-end=""1093"">Màn hình 15.6 inch WUXGA với độ phân giải 1920 x 1200, tỉ lệ 16:10, viền mỏng 3 cạnh cho không gian hiển thị rộng rãi. Tần số quét 144Hz mang lại trải nghiệm mượt mà khi chơi game hoặc xem video.</p>
\n
\n
\n<hr data-start=""1095"" data-end=""1098"" />
\n
\n<h3 data-start=""1100"" data-end=""1134"">3. Thiết kế trẻ trung, gọn nhẹ</h3>
\n<p data-start=""1136"" data-end=""1359"">Vivobook K3605VC có thiết kế hiện đại, năng động với trọng lượng chỉ khoảng 1.9kg, dễ dàng mang theo khi di chuyển. Phù hợp với sinh viên, người làm việc thường xuyên di chuyển hoặc cần laptop cấu hình cao mà vẫn linh hoạt.</p>
\n
\n
\n<hr data-start=""1361"" data-end=""1364"" />
\n
\n<h3 data-start=""1366"" data-end=""1392"">4. Đầy đủ cổng kết nối</h3>
\n<p data-start=""1394"" data-end=""1470"">Trang bị đa dạng cổng kết nối, hỗ trợ tốt cho học tập, làm việc và giải trí:</p>
\n
\n<ul data-start=""1472"" data-end=""1553"">
\n 	<li data-start=""1472"" data-end=""1483"">
\n<p data-start=""1474"" data-end=""1483"">1 x USB-C</p>
\n</li>
\n 	<li data-start=""1484"" data-end=""1495"">
\n<p data-start=""1486"" data-end=""1495"">2 x USB-A</p>
\n</li>
\n 	<li data-start=""1496"" data-end=""1506"">
\n<p data-start=""1498"" data-end=""1506"">1 x HDMI</p>
\n</li>
\n 	<li data-start=""1507"" data-end=""1532"">
\n<p data-start=""1509"" data-end=""1532"">1 x Jack tai nghe 3.5mm</p>
\n</li>
\n 	<li data-start=""1533"" data-end=""1553"">
\n<p data-start=""1535"" data-end=""1553"">1 x Cổng sạc DC-in</p>
\n</li>
\n</ul>
\n
\n<hr data-start=""1555"" data-end=""1558"" />
\n
\n<h3 data-start=""1560"" data-end=""1591"">5. Hệ điều hành và phần mềm</h3>
\n<p data-start=""1593"" data-end=""1785"">Máy được cài sẵn Windows 11 Home bản quyền, giao diện hiện đại, hỗ trợ bảo mật và hiệu suất tốt hơn. Ngoài ra, ASUS còn cung cấp bộ phần mềm MyASUS hỗ trợ tối ưu hiệu năng và bảo trì hệ thống.</p>
\n
\n
\n<hr data-start=""1787"" data-end=""1790"" />
\n
\n<h3 data-start=""1792"" data-end=""1817"">6. Âm thanh sống động</h3>
\n<p data-start=""1819"" data-end=""1967"">Công nghệ âm thanh SonicMaster độc quyền từ ASUS cho chất âm rõ ràng, âm lượng lớn, đáp ứng tốt nhu cầu giải trí như xem phim, nghe nhạc, chơi game.</p>
\n
\n
\n<hr data-start=""1969"" data-end=""1972"" />
\n
\n<h3 data-start=""1974"" data-end=""2006"">Thông số kỹ thuật tổng quan:</h3>
\n<div class=""_tableContainer_1rjym_1"">
\n<div class=""group _tableWrapper_1rjym_13 flex w-fit flex-col-reverse"" tabindex=""-1"">
\n<table class=""w-fit min-w-(--thread-content-width)"" data-start=""2008"" data-end=""2745"">
\n<thead data-start=""2008"" data-end=""2074"">
\n<tr data-start=""2008"" data-end=""2074"">
\n<th data-start=""2008"" data-end=""2030"" data-col-size=""sm"">Thông số</th>
\n<th data-start=""2030"" data-end=""2074"" data-col-size=""sm"">Chi tiết</th>
\n</tr>
\n</thead>
\n<tbody data-start=""2142"" data-end=""2745"">
\n<tr data-start=""2142"" data-end=""2208"">
\n<td data-start=""2142"" data-end=""2164"" data-col-size=""sm"">CPU</td>
\n<td data-start=""2164"" data-end=""2208"" data-col-size=""sm"">Intel Core i5-13420H</td>
\n</tr>
\n<tr data-start=""2209"" data-end=""2275"">
\n<td data-start=""2209"" data-end=""2231"" data-col-size=""sm"">RAM</td>
\n<td data-start=""2231"" data-end=""2275"" data-col-size=""sm"">16GB DDR4</td>
\n</tr>
\n<tr data-start=""2276"" data-end=""2342"">
\n<td data-start=""2276"" data-end=""2298"" data-col-size=""sm"">Ổ cứng</td>
\n<td data-start=""2298"" data-end=""2342"" data-col-size=""sm"">512GB SSD NVMe</td>
\n</tr>
\n<tr data-start=""2343"" data-end=""2409"">
\n<td data-start=""2343"" data-end=""2365"" data-col-size=""sm"">Card đồ họa</td>
\n<td data-start=""2365"" data-end=""2409"" data-col-size=""sm"">NVIDIA GeForce RTX 3050 4GB</td>
\n</tr>
\n<tr data-start=""2410"" data-end=""2476"">
\n<td data-start=""2410"" data-end=""2432"" data-col-size=""sm"">Màn hình</td>
\n<td data-start=""2432"" data-end=""2476"" data-col-size=""sm"">15.6 inch WUXGA, 1920 x 1200, 144Hz</td>
\n</tr>
\n<tr data-start=""2477"" data-end=""2543"">
\n<td data-start=""2477"" data-end=""2499"" data-col-size=""sm"">Tỉ lệ màn hình</td>
\n<td data-start=""2499"" data-end=""2543"" data-col-size=""sm"">16:10</td>
\n</tr>
\n<tr data-start=""2544"" data-end=""2611"">
\n<td data-start=""2544"" data-end=""2567"" data-col-size=""sm"">Hệ điều hành</td>
\n<td data-start=""2567"" data-end=""2611"" data-col-size=""sm"">Windows 11 Home bản quyền</td>
\n</tr>
\n<tr data-start=""2612"" data-end=""2678"">
\n<td data-start=""2612"" data-end=""2634"" data-col-size=""sm"">Trọng lượng</td>
\n<td data-start=""2634"" data-end=""2678"" data-col-size=""sm"">~1.9kg</td>
\n</tr>
\n<tr data-start=""2679"" data-end=""2745"">
\n<td data-start=""2679"" data-end=""2701"" data-col-size=""sm"">Cổng kết nối</td>
\n<td data-start=""2701"" data-end=""2745"" data-col-size=""sm"">USB-C, USB-A, HDMI, jack 3.5mm, DC-in</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n
\n<hr data-start=""2747"" data-end=""2750"" />
\n
\n<h3 data-start=""2752"" data-end=""2768"">Phù hợp với:</h3>
\n<ul data-start=""2770"" data-end=""2978"">
